housewife,old,policeman,maid,homosexual,aliens,slave,gay,tribe,actress
mcwilliams:0.9962,last:0.9798,colon:0.9414,kamala:0.9747,centered:0.994,cdc:0.9906,levy:0.9879,authorities:0.9978,undocumented:0.9234,released:0.9975
justin:0.9961,starter:0.9294,anja:0.9323,slideshow:0.972,sarah:0.994,corporation:0.9901,tight:0.9854,corrupt:0.9976,families:0.9232,twin:0.9956
run:0.9959,olds:0.9276,vacancies:0.9315,texting:0.9715,industrial:0.9939,pine:0.9896,dressed:0.9853,lindsay:0.9971,arrivals:0.9218,mainland:0.9953
tennis:0.9958,exceeds:0.9146,exceeds:0.9314,marin:0.9707,writer:0.9938,waters:0.9896,solo:0.9852,tried:0.997,blizzards:0.9203,midlands:0.995
magazine:0.9958,503million:0.9137,hiatus:0.9252,girlfriends:0.9695,trials:0.9937,mma:0.9891,pot:0.9851,rita:0.9968,mothers:0.9202,singer:0.995
mahrez:0.9957,vacancies:0.9111,payton:0.9233,trap:0.9695,walters:0.9936,chemical:0.9888,lights:0.9851,crypto:0.9967,workers:0.9197,jan:0.9946
australia:0.9957,phanerozoic:0.9035,demi:0.9231,vice:0.9694,dancers:0.9936,script:0.9887,portrait:0.9851,insisted:0.9966,instances:0.919,autumn:0.994
college:0.9955,racked:0.9028,ciulla:0.9201,spector:0.9692,cnet:0.9936,lopez:0.9886,initiative:0.985,rush:0.9964,investigating:0.9185,january:0.9934
angela:0.9953,15m:0.9028,sequences:0.9171,declaring:0.9675,sofia:0.9936,whisky:0.9886,crossing:0.985,somers:0.9963,koval:0.9166,vietnam:0.9929
himself:0.9953,annus:0.9023,four:0.9169,robertson:0.9673,anti:0.9935,lee:0.9885,loose:0.9848,athlete:0.9961,qualified:0.9165,canceled:0.9927
rodriguez:0.9952,walter:0.9023,spends:0.9162,woods:0.9659,alex:0.9935,henry:0.9884,thornhill:0.9845,erlich:0.996,pregnancies:0.9162,shortly:0.9924
diana:0.9952,horribilis:0.9021,coincides:0.914,patronizing:0.9659,buen:0.9935,savage:0.9883,lander:0.9844,alleged:0.996,engaging:0.9161,grandfather:0.9921
mighty:0.9952,policeman:0.897,five:0.9126,summers:0.9656,miniseries:0.9934,mermaid:0.9883,edward:0.9843,pregnancy:0.9959,conservatives:0.9155,named:0.9921
